t=2025-03-14T18:24:38-0700 lvl=info msg="open config file" path=/home/noah/Sidework/repos/protondemand/ngrok.yml err=nil
t=2025-03-14T18:24:38-0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-03-14T18:24:38-0700 lvl=info msg="client session established" obj=tunnels.session
t=2025-03-14T18:24:38-0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-03-14T18:24:39-0700 lvl=info msg="started tunnel" obj=tunnels name=frontend addr=http://localhost:3001 url=https://48e9-75-80-36-3.ngrok-free.app
t=2025-03-14T18:24:39-0700 lvl=info msg="started tunnel" obj=tunnels name=backend addr=http://localhost:8000 url=https://5d7b-75-80-36-3.ngrok-free.app
t=2025-03-14T18:24:39-0700 lvl=info msg="update available" obj=updater
t=2025-03-14T18:25:04-0700 lvl=info msg="join connections" obj=join id=cadecf78ff30 l=127.0.0.1:8000 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61416
t=2025-03-14T18:25:13-0700 lvl=info msg="join connections" obj=join id=14dd829832f5 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61448
t=2025-03-14T18:25:15-0700 lvl=info msg="join connections" obj=join id=a9043de5a566 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61448
t=2025-03-14T18:25:15-0700 lvl=info msg="join connections" obj=join id=fd3aaf534fac l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61448
t=2025-03-14T18:25:15-0700 lvl=info msg="join connections" obj=join id=4f6d39221cf6 l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61448
t=2025-03-14T18:25:15-0700 lvl=info msg="join connections" obj=join id=1058e6eb43ff l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61448
t=2025-03-14T18:25:15-0700 lvl=info msg="join connections" obj=join id=e6b15df9ad5f l=[::1]:3001 r=[2600:8801:ca00:3c50:4902:c67c:df06:864a]:61448
